CaseID,caseid2023,caseid2022,weight_pop,panel_weight_pop,L0_a,L0_b,L0_c,L0_d,L0_e,L0B_a,L0B_b,L0B_c,L0C,L0E,B2,B3,B3A_a,B3A_b,B3A_c,B3A_d,B3A_e,B3B_a,B3B_b,B3B_c,B3B_d,B3B_e,B7_a,B7_b,X11_none,X12_a,X12_b,X12_c,X12_d,X12_e,X12_f,X12_g,X13,CG0,CG1A,CG2,CG7_a,CG7_b,CG7_c,CG7_d,CG7_e,CG7_f,CG7_g,CG9,CG8,CG3,CG4,CG5_a,CG5_b,CG5_c,CG5_d,CG5_e,CG5_f,CG6,D1A,D4,D48,D3B,D1E,D22_a,D22_b,D22_c,D22_d,D22_e,D22_f,D22_g,D22_h,D22_i,D3A,D3E,D28_a,D28_b,D30,D47,D34A,D36B,D44_f,D44_a,D44_b,D44_c,D44_d,D44_e,D37A,D38_a,D38_b,D38_c,D38_d,D38_f,D39,D1B,D5,D49,D41_a,D41_b,D41_c,D41_d,D41_e,D41_f,D41_g,D41_h,D41_i,GE2A,GE12_a,GE12_b,GE12_c,GE2B,GE1A,GE1B,GE1C,GE1D,GE1E_a,GE1E_b,GE1E_c,GE1E_d,GE1E_e,GE61,GE20C,GE62_a,GE62_b,GE62_c,GE62_d,GE62_e,GE62_f,GH1,GH12,GH12A,GH13_a,GH13_b,GH13_c,GH13_d,R1_a,R1_b,R1_c,R1_d,R1_e,R1_f,R1_g,R1_h,GH2,R4,R5B_a,R5B_b,R5B_c,R5B_d,R5C_a,R5C_b,R5C_c,R5C_d,R3,R11,M4,GH3_a,GH3_b,GH3_c,GH3_d,GH3_e,ND0,ND1_a,ND1_b,ND1_c,ND1_d,ND1_e,ND2,ND4_a,ND4_b,ND4_c,BK1,BK2_a,BK2_b,BK2_c,BK2_d,BK2_e,BK2_f,BK47_a,BK47_b,BK48,BK49A,BK49B,BK50,BK51,BK52_a,BK52_b,BK52_c,BK52_d,BK52_e,BK52_f,BK52_g,BK52_h,A6,A0,A7_a,A7_b,A7_c,A7_d,A7_e,A7_f,A0B,A1_a,A1_b,A1_c,A8_a,A8_b,A8_c,A8_d,A8_e,A8_f,A2,C2A,C3P,C4A,BNPL1,BNPL3,BNPL3A,BNPL4_a,BNPL4_b,BNPL4_c,BNPL4_d,BNPL4_e,BNPL4_f,BNPL4_g,S16_a,S16_b,S16_c,S18,S21,ED0,D1G,ED0B,ED0D,ED1,SL1,SL3,SL4A,SL4,SL6,SL7,SL8_a,SL8_b,SL8_c,SL8_d,SL8_e,SL10A,SL11,SL13,D1I,K0,K8B,K9_a,K9_b,K9_c,K9_d,K9_e,K9_f,K14_a,K14_b,K15_a,K15_b,K15_c,K15_d,K15_e,K21_a,K21_b,K21_c,K21_d,K21_e,K21_f,DC4,K5A_a,K5A_b,K5A_c,I0_a,I0_b,I0_c,I0_d,I0_e,I0_f,I40,I41_a,I41_b,I41_c,I41_d,I41_e,I9,I12,I20,I21_a,I21_b,INF4,INF3_a,INF3_b,INF3_c,INF3_d,INF3_e,INF3_f,INF3_g,EF1,EF2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5C,EF6C_a,EF6C_b,EF6C_c,EF6C_d,EF7,B0_a,B0_b,B0_c,B1_a,B1_b,FD3,E8_a,E8_b,E8_c,E1_a,E1_b,E1_c,E1_d,E1_e,E2,E2A,E2B,E4_a,E4_b,E4_c,E4_d,E4_e,E4_f,CH2A,ppage,ppagecat,ppagect4,ppeduc5,ppeducat,ppemploy,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,ppreg9,pprent,ppstaten,ppkid017,ppt18ov,ppcm0160,ind1,ppcm1301,UNION100,pph10001,ppfs0001,ppfs0596,ppfs1482,pphi0001,ppracem,pphispan,pppa_lgb,ppp20197,pphi0018,pph12003,pph12004,pph12005,pph12006,pph12007,pphhsize5,race_5cat,inc_4cat_50k,educ_4cat,pay_casheqv,atleast_okay,control
3110,3092.0,,39217.7011,87808.694,No,No,No,Yes,No,,,,,,Doing okay,About the same,,,,,,,,,,,Only fair,Only fair,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Rarely,Rarely,"Schedule varies, primarily based on my employer’s needs",No,,Very likely,No,No,Yes,Yes,No,No,,,,,,,,Somewhat confident,,,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Neither own nor pay rent,,,,,,,,,,,,,,,Before 2023,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Very satisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,No,,,,,,Somewhat higher,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,No,,,,,,,,,,No,No,No,,,High school degree or GED,No,,No,,No,,,,,No,,,,,,,,,No,Don’t know,,,,,,,,,,,,,,,Yes,Yes,No,Yes,No,No,Slightly comfortable,No,No,No,Yes,No,No,No,No,No,"$30,000 to $34,999",No,No,No,No,,Roughly the same amount each month,,The same as your income,About the same,Decreased,Somewhat worse,No,Yes,No,No,Yes,No,,Yes,,No,Yes,Yes,No,No,No,No,No,Yes,,,,,$100 to $499,Somewhat,Somewhat,Very well,Sometimes,Often,"Enough, but not always the kinds of food we wanted to eat",No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,High school degree or GED,26,25-34,18–29,High school graduate (high school diploma or the equivalent GED),High school graduate (high school diploma or the equivalent GED),Working full-time,Hispanic,Female,2,A one-family house detached from any other house,"$50,000 to $74,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,ca,0,2,Office and Administrative Support,"Finance, Banking, and Insurance",Government,No,Very good,Another household member makes all or most of the decisions,,Good,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,2,Hispanic,"$25,000–$49,999",High school degree or GED,No,Yes,
3113,,,14813.8701,,Yes,Yes,No,No,No,,,,1,6 to 12,Living comfortably,Much better off,,,,,,Yes,No,No,No,No,Only fair,Only fair,,Minor concern,Major concern,Minor concern,Major concern,Major concern,Not a concern,Not a concern,,No,,,No,No,No,No,No,Yes,No,,10 to 19 hours,My spouse/partner is usually the primary caretaker,Yes,Yes,No,No,No,Yes,No,Several days per month,No,,,,Yes,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,No,No,No,,,,,,,,Very confident,Yes,Yes,,,,,,,,,,Yes,No,No,Yes,No,No,,,,,,,,,,Less than 1 hour,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,1200.0,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"Yes, moderately",No,No,No,No,Yes,Much higher,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No money was ever transferred out of or taken from my account,,,less than 1 hour,No,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,did not use any of my credit cards so had no balances,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,Yes,No,No,,,Master’s degree,No,,,Life sciences,No,,,,,Yes,No,No,Yes,No,Yes,No,No,,No,No,,,,,,,,,,,,,,,Yes,No,Yes,Yes,Yes,Yes,Mostly comfortable,No,No,No,Yes,Yes,No,No,No,No,"$150,000 to $199,999",No,No,No,No,No,Roughly the same amount each month,,Less than your income,Increased,About the same,Somewhat better,Yes,Yes,No,No,No,No,,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,"$2,000 or more",Very little,Very little,Somewhat,Often,Rarely,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Less than high school degree,47,45-54,45–59,Master’s degree or higher,Bachelor's degree or higher,Working full-time,Hispanic,Male,2,A one-family house detached from any other house,"$150,000 or more",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,ca,0,2,"Life, Physical, and Social Sciences","Farming/Agriculture, Forestry, Fishing and Hunting, and Animal Production",Private-for-profit company,No,Very good,Another household member and I share in the decisions,,Excellent,More English than Spanish,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,2,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Public
3129,,,15079.0535,,Yes,Yes,No,No,No,,,,2,3 to 5,Just getting by,About the same,,,,,,,,,,,Only fair,Good,,Minor concern,Major concern,Major concern,Major concern,Major concern,Minor concern,Major concern,,Yes,40 hours or more,500.0,No,No,No,Yes,No,No,No,,10 to 19 hours,My spouse/partner is usually the primary caretaker,No,,,,,,,,No,,,,Yes,No,,Yes,No,No,No,No,No,No,,,,,,,,,No,,,No,No,No,,,,,,,,Somewhat confident,Yes,Yes,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Pay rent,,,,,,,No,No,No,Yes,No,No,No,No,2024,No,No,No,No,No,,,,,3700.0,No,,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very dissatisfied,"Yes, moderately",No,Yes,No,Yes,No,Much higher,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,No,,,,,,,,,,No,No,No,,,Bachelor’s degree,"Yes, as a full-time student",Master’s degree,,Computer / information sciences,No,,,,,No,,,,,,Yes,,,No,No,,,,,,,,,,,,,,,Yes,No,Yes,No,Yes,No,Mostly comfortable,No,No,No,No,Yes,No,No,No,No,"$50,000 to $59,999",Yes,Yes,No,No,Yes,Occasionally varies from month to month,Yes,More than your income,About the same,About the same,Little or no effect,No,Yes,Yes,No,Yes,Yes,,Yes,,Yes,No,No,No,No,No,No,No,No,Paid in full,Paid in full,Paid in full,Paid in full,"$1,000 to $1,999",Very well,Completely,Completely,Rarely,Often,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,Some college but no degree,28,25-34,18–29,Bachelor's degree,Bachelor's degree or higher,Working full-time,Hispanic,Male,4,A one-family house detached from any other house,"$75,000 to $99,999",Now married,Metro,West,Pacific,Rented for cash,ca,2,2,Armed Services,Armed Forces,Government,No,Very good,I make all or  most of the decisions,,Good,Both Spanish and English equally,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,28.0, Yes,No,No,No,No,4,Hispanic,"$50,000–$99,999",Bachelor's degree or more,Yes,No,Public
3134,3107.0,3632.0,45197.5827,90875.1237,Yes,Yes,Yes,No,No,,,,1,6 to 12,Living comfortably,About the same,,,,,,,,,,,Good,Good,Yes,,,,,,,,,No,,,No,No,No,No,No,No,Yes,,,My spouse/partner and I equally share caretaking responsibilities,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Other work arrangement,No,,,,Don’t know,,,No,No,No,No,No,No,,,,,,,,Very confident,Yes,Yes,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Pay rent,,,,,,,Yes,No,Yes,No,No,No,No,Yes,Before 2023,,,,,,,,,,1400.0,No,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,No,,,,,,About the same,No,No,No,No,No,No,No,No,No,,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Less than high school degree,No,,,,No,,,,,No,,,,,,No,Do not have children or grandchildren,,No,Don’t know,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Mostly comfortable,No,No,No,Yes,No,No,No,No,No,"$100,000 to $149,999",No,No,No,No,No,Roughly the same amount each month,,The same as your income,About the same,About the same,Little or no effect,No,No,No,No,No,No,,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,Under $100,Somewhat,Somewhat,Somewhat,Sometimes,Sometimes,Often not enough to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Less than high school degree,45,45-54,45–59,No high school diploma or GED,No high school diploma or GED,Working full-time,Hispanic,Female,4,A one-family house detached from any other house,"$100,000 to $149,999",Now married,Metro,West,Pacific,Rented for cash,ca,1,3,"Health Care Support (such as nursing aide, orderly, dental assistant)","Health Care (including Elder Care, Home Health Care)",Private-for-profit company,No,Excellent,Another household member and I share in the decisions,,Good,More English than Spanish,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,,No,No,No,No,No,4,Hispanic,"$100,000 or more",Less than a high school degree,Yes,Yes,
3137,,3636.0,21057.6717,,Yes,No,Yes,No,No,,,,,,Living comfortably,About the same,,,,,,,,,,,Good,Only fair,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,Yes,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,No,No,No,,,,,,,,Somewhat confident,Yes,Yes,,,,,,,,,,Yes,No,No,No,No,No,,,,,,,,,,Less than 1 hour,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,1200.0,Very satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,"Yes, substantially",No,No,No,No,No,About the same,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Most or all of the time,No,,,,,,,,,,No,No,No,,,Some college but no degree (including currently enrolled in college),No,,,Health,No,,,,,No,,,,,,No,No,,No,Yes,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Mostly comfortable,No,No,No,Yes,No,No,No,No,No,"$75,000 to $99,999",No,No,No,No,,Roughly the same amount each month,,Less than your income,About the same,Increased,Somewhat worse,Yes,Yes,No,No,No,No,,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,"$1,000 to $1,999",Somewhat,Somewhat,Somewhat,Often,Never,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,High school degree or GED,45,45-54,45–59,Some college or Associate's degree,Some college or Associate's degree,Working full-time,Hispanic,Female,4,A one-family house detached from any other house,"$75,000 to $99,999",Now married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,fl,0,4,"Health Diagnosing or Treating Practitioner (such as physician, nurse, dentist, veterinarian, pharmacist)","Health Care (including Elder Care, Home Health Care)",Private-for-profit company,No,Excellent,Another household member and I share in the decisions,"Under $50,000",Excellent,More English than Spanish,White,"Yes, Puerto Rican","Straight, that is, not gay",Yes,,No,No,No,No,No,4,Hispanic,"$50,000–$99,999",Some college/technical or associates degree,Yes,Yes,Private for-profit
3147,,,16677.1534,,Yes,Yes,No,No,No,,,,1,6 to 12,Doing okay,About the same,,,,,,,,,,,Good,Good,,Minor concern,Minor concern,Minor concern,Minor concern,Not a concern,Not a concern,Major concern,Both are of equal concern,Yes,10 to 19 hours,330.0,No,No,No,No,No,No,Yes,,,My spouse/partner and I equally share caretaking responsibilities,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Rarely,Often,Normally work the same hours,No,Some,Somewhat likely,No,Yes,No,No,No,No,,,,,,,,Very confident,Yes,Yes,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,2560.0,Somewhat satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,"Yes, slightly",No,No,No,No,Yes,Somewhat higher,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Somewhat confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Some of the time,No,,,,,,,,,,No,No,No,,,Bachelor’s degree,No,,,Humanities / arts,Yes,"$75,000 to $99,999",Yes,$500 to $999,No,,No,No,Yes,No,No,No,No,,No,No,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$200,000 or more",No,No,No,No,No,Roughly the same amount each month,,Less than your income,Increased,About the same,Little or no effect,No,No,No,No,No,No,Yes,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,"$2,000 or more",Somewhat,Somewhat,Very well,Rarely,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,High school degree or GED,54,45-54,45–59,Bachelor's degree,Bachelor's degree or higher,Working full-time,Hispanic,Male,3,A one-family house detached from any other house,"$150,000 or more",Now married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,md,1,2,Business Operations (including Marketing),Retail/Stores/Shopping (including Online Retail),Non-profit organization including tax exempt and charitable organizations,No,Very good,Another household member and I share in the decisions,,Good,Only English,2+ races,"Yes, Mexican, Mexican-American, Chicano",Gay or lesbian,Yes,,No,No,No,No,No,3,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Public
3152,3116.0,,10222.2425,36098.2049,Yes,No,No,Yes,No,,,,,,Doing okay,Somewhat better off,,,,,,No,Yes,No,No,No,Good,Good,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Rarely,Rarely,Normally work the same hours,No,,Somewhat likely,No,No,No,No,No,No,,,,,,,,Somewhat confident,No,,No,,No,No,No,No,No,No,No,No,,,,No,,No,,No,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,No,No,No,Yes,,,,,,,,,Before 2023,,,,,,,,,,,,3200.0,Very satisfied,Very satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No,,,,,,About the same,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,did not use any of my credit cards so had no balances,Never carried an unpaid balance (always pay in full),No,,,,,,,,,,No,No,No,,,Bachelor’s degree,No,,,Business / management,No,,,,,No,,,,,,No,No,,No,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Slightly comfortable,No,No,No,No,Yes,No,No,No,No,"$75,000 to $99,999",No,No,No,No,,Occasionally varies from month to month,No,Less than your income,About the same,About the same,Somewhat worse,No,No,No,No,No,No,,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,"$1,000 to $1,999",Not at all,Not at all,Not at all,Often,Rarely,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,Yes,No,No,No,No,Less than high school degree,52,45-54,45–59,Bachelor's degree,Bachelor's degree or higher,Working full-time,Hispanic,Male,2,A one-family house detached from any other house,"$75,000 to $99,999",Never married,Metro,West,Pacific,Owned or being bought by you or someone in your household,ca,0,2,Business Operations (including Marketing),"Administrative and Support Services (such as Call Centers, Security, Landscaping, and Janitorial)",Private-for-profit company,No,Very good,I make all or  most of the decisions,,Excellent,Both Spanish and English equally,White,"Yes, Mexican, Mexican-American, Chicano",Gay or lesbian,Yes,,No,No,No,No,No,2,Hispanic,"$50,000–$99,999",Bachelor's degree or more,Yes,Yes,Private for-profit
3153,3119.0,3651.0,16258.4884,35163.5147,Yes,No,No,Yes,No,,,,,,Living comfortably,Somewhat better off,,,,,,No,No,No,Yes,No,Poor,Poor,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Always,Always,Normally work the same hours,No,,Very likely,No,Yes,No,No,No,No,,,,,,,,Very confident,Yes,Yes,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Neither own nor pay rent,,,,,,,,,,,,,,,Before 2023,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Very satisfied,Very dissatisfied,No,,,,,,About the same,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Some of the time,No,,,,,,,,,,No,No,No,,,Bachelor’s degree,No,,,Business / management,No,,,,,Yes,No,No,No,No,No,No,No,,No,Yes,,,,,,,,,,,,,,,Yes,No,No,No,No,No,Very comfortable,No,No,No,Yes,Yes,No,No,No,No,"$150,000 to $199,999",No,No,No,No,,Roughly the same amount each month,,More than your income,About the same,About the same,Much worse,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,No,No,Yes,No,No,No,No,No,Yes,,,,,"$2,000 or more",Not at all,Not at all,Not at all,Never,Sometimes,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,Some college but no degree,57,55-64,45–59,Bachelor's degree,Bachelor's degree or higher,Working full-time,Hispanic,Male,3,A one-family house detached from any other house,"$150,000 or more",Now married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,ny,0,3,Computer and Mathematical,"Finance, Banking, and Insurance",Non-profit organization including tax exempt and charitable organizations,No,Very good,Another household member and I share in the decisions,,Excellent,Both Spanish and English equally,White,"Yes, Other","Straight, that is, not gay",Yes,,No,No,No,No,No,3,Hispanic,"$100,000 or more",Bachelor's degree or more,Yes,Yes,Public
3162,,3667.0,39508.4135,,No,No,No,No,No,,,,,,Just getting by,Somewhat better off,,,,,,No,No,No,Yes,No,Good,Good,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,No,,,,No,No,,No,No,No,No,No,No,No,,,,,,,,,No,,,No,No,No,,,,,,,,Not working and not interested in working right now,,,,,,,,,,,,No,,,,No,,No,,No,,,,,,,,,,,,,,Neither own nor pay rent,,,,,,,,,,,,,,,Before 2023,,,,,,,,,,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No,,,,,,Much lower,No,No,No,No,No,No,No,No,No,,No,No,,,,,,,,,,,,,,Somewhat confident,No,,,,,,,No,,,,,,,,,,,No,,,No,,,,,,,,,,No,No,No,,,High school degree or GED,No,,No,,No,,,,,No,,,,,,,Do not have children or grandchildren,,No,No,,,,,,,,,,,,,,,No,No,No,No,No,No,Very comfortable,No,No,No,No,No,No,Yes,No,No,"$10,000 to $14,999",No,Yes,No,No,,Roughly the same amount each month,,The same as your income,Decreased,Decreased,Little or no effect,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,Yes,No,Paid in full,Does not apply (do not have bill),Paid in full,Does not apply (do not have bill),Under $100,Very little,Very little,Very little,Always,Never,Enough of the kinds of food we wanted to eat,Yes,No,Yes,Yes,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Certificate or technical degree,31,25-34,30–44,No high school diploma or GED,No high school diploma or GED,Not working,Hispanic,Female,1,Building with 2 or more apartments,"$10,000 to $24,999",Never married,Metro,South,West-South Central,Rented for cash,tx,0,1,Not asked,-2,Not asked,Not asked,Fair,Another household member makes all or most of the decisions,,Don’t know,Both Spanish and English equally,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,31.0,No,No, Yes, Yes, Yes,1,Hispanic,"Less than $25,000",High school degree or GED,No,No,
3166,3131.0,3669.0,43476.5746,97804.5868,Yes,No,No,No,No,,,,,,Just getting by,Somewhat worse off,No,Yes,No,Yes,No,,,,,,Only fair,Poor,No,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,No,,,,,,,,,,Working for someone else,,Sometimes,Sometimes,Normally work the same hours,No,,Not at all likely,No,Yes,No,No,No,No,,,,,,,,Not confident,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,,,,No,No,,,,,,,,,,,,,,,,,Pay rent,,,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Before 2023,,,,,,,,,,1400.0,No,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Very satisfied,Neither satisfied nor dissatisfied,"Yes, moderately",Yes,Yes,No,No,Refused,Much higher,No,No,No,No,Yes,Yes,No,No,No,,No,No,,,,,,,,,,,,,,Not confident,No,,,,,,,Yes,,,,,,,,,,Yes,No,,,No,,,,,,,,,,No,No,No,,,Less than high school degree,No,,,,No,,,,,No,,,,,,No,No,,No,No,,,,,,,,,,,,,,,No,No,No,No,No,No,Not comfortable,No,No,No,Yes,No,No,No,No,No,"$30,000 to $34,999",Yes,Yes,No,No,,Roughly the same amount each month,,The same as your income,About the same,About the same,Much worse,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Paid in full,Paid in full,Made partial payment or did not pay,Does not apply (do not have bill),Under $100,Completely,Completely,Completely,Never,Always,Often not enough to eat,Yes,Yes,No,No,Yes,Yes,Yes,No,No,,No,No,No,No,No,No,No,Associate degree,38,35-44,30–44,No high school diploma or GED,No high school diploma or GED,Working full-time,Hispanic,Male,4,Building with 2 or more apartments,"$10,000 to $24,999",Never married,Metro,South,West-South Central,Rented for cash,tx,2,2,"Installation, Maintenance, and Repair",Repairs and Maintenance,Self-employed,Not asked,Good,I make all or  most of the decisions,,Poor,Only English,White,"Yes, Mexican, Mexican-American, Chicano","Straight, that is, not gay",Yes,, Yes,No,No, Yes,No,4,Hispanic,"$25,000–$49,999",Less than a high school degree,No,No,
3174,,3681.0,10353.1137,,No,No,No,No,No,,,,,,Finding it difficult to get by,Much worse off,No,Yes,No,No,No,,,,,,Poor,Poor,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Yes,No,Yes,,Yes,,,,,,,,,,Working for someone else,,Always,Always,Normally work the same hours,No,,Not that likely,No,No,Yes,No,No,No,,,,,,,,Very confident,,,,,,,,,,,,No,,,,No,No,,,,,,,,,,,,,,,,,Own your home with a mortgage or loan,Yes,,Yes,No,No,No,,,,,,,,,Before 2023,,,,,,,,,,,,750.0,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No,,,,,,Much higher,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,Very confident,No,,,,,,,No,,,,,,,,,,,Yes,paid at least the minimum payment on all credit cards,Some of the time,No,,,,,,,,,,No,No,No,,,Bachelor’s degree,No,,,Humanities / arts,No,,,,,No,,,,,,,Do not have children or grandchildren,,No,Yes,,,,,,,,,,,,,,,Yes,No,No,Yes,No,No,Slightly comfortable,No,No,No,Yes,No,No,No,No,No,"$50,000 to $59,999",No,No,No,No,,Roughly the same amount each month,,More than your income,About the same,Increased,Much worse,No,No,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,No,No,Yes,,,,,Under $100,Not at all,Completely,Completely,Never,Always,Enough of the kinds of food we wanted to eat,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,High school degree or GED,63,55-64,60+,Bachelor's degree,Bachelor's degree or higher,Working full-time,Hispanic,Male,1,Building with 2 or more apartments,"$50,000 to $74,999",Never married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,fl,0,1,Office and Administrative Support,"Health Care (including Elder Care, Home Health Care)",Private-for-profit company,No,Very good,I make all or  most of the decisions,,Excellent,Only English,White,"Yes, Cuban, Cuban American","Straight, that is, not gay",Yes,,No,No,No,No,No,1,Hispanic,"$50,000–$99,999",Bachelor's degree or more,No,No,Public
